id,source_page,frame,subframe,topic,question_reconstructed,answer_vibs_report_reflection,expected_interpretation_noexcuse_sammenheng,opportunities
NE-01,6,Identitet,Tydelighet,Opplevd markedsidentitet,Hva er status for opplevd markedsidentitet i virksomheten?,"Fremmedord. Prematurt. Ingen vet om oss. Tenkt på identitet gjennom å skape verdi for kunden. Ønsker å treffe SMB, og de ønsker å se verdi med en gang. Vi skal løse utfordringen enkelt og treffe midt i kjernen. Vi skal være en seriøs aktør. ""Vi skal forenkle tilbudsprosessen og synliggjøring av kvalitet for totalentreprenør. Vi gjør bærekraft lønnsomt.”","Merkevaren er kjennetegnene som mulige kunder bruker for å gjenkjenne hvem en leverandør er, og en påminnelse om hvorfor de er det riktige valget. For at merke-varen skal være tydelig og troverdig, må den representere virksomhetens identitet slik som den oppleves i markedet blant kunder, konkurrenter og partnere.",Intern identitetsworkshop med marked og drift [Lav/Høy] | Markedsfremstøt mot kundene [Middels/Lav] | Gjennomgå den visuelle profilen [Lav/Middels] | Tydeliggjøre merkevarehistorien [Middels/Lav]
NE-02,7,Identitet,Tydelighet,Identitet i ledelse,Hva er status for identitet i ledelse i virksomheten?,Vi forenkler hverdagen og bringer inn en unik beregningsmodell.,"Virksomhetens identitet representeres av dens ledere, og deres framtreden er et forbilde for ansatte og partnere. Det opprinnelige opphavet ligger gjerne hos gründerne, som når virksomheten vokser må formidle den videre til nye ansatte og ledere som de kanskje ikke møter daglig på arbeidsplassen. For at en identitet ikke skal bestå av intensjoner og formaninger, så må den gjøres levende av ledelsen.",Sette identitet på dagsorden for ledergruppen [Lav/Middels] | Sørge for å avklare roller og ansvar i ledergruppen [Middels/Middels]
NE-03,8,Identitet,Tydelighet,Identitet i formidling,Hva er status for identitet i formidling i virksomheten?,"Formidling avhenger av hvem som er kunden. Det kan være totalentreprenører, privatkunder, aktører i bank & forsikring og andre. Vi skal utføre beregninger og på den måten forenkle. Vi skal skille oss ut på kvalitet og pris og bærekraft. Banker skal anbefale vår løsning. (TCO).","Kontakt med kunder og partnere i salg og samarbeid er en viktig kanal hvor identiteten formidles og styrkes. Historiene om hva virksomheten holder på med, hvordan den gjør det, og hvem den egentlig er, avhenger av hvordan identiteten formidles i den løpende dialogen med andre parter.",Dedikert opplæring og oppfølging av selgerne [Middels/Lav] | Gjennomgå kjernebudskapet til selskapet [Høy/Middels]
NE-04,9,Identitet,Tydelighet,Identitet i produksjon,Hva er status for identitet i produksjon i virksomheten?,"Prematurt, men foreløpig må det handle om forenkling og kontroll.","Ansatte og ledere skaper sammen internkulturen i virksomheten, det som kjennetegner og skaper samhold og fellesskap. Denne felles indre identiteten er en viktig forutsetning for samarbeid og effektiv produksjon. Når den indre identiteten ikke samsvarer med den ytre identiteten, er utydelig eller delt, svekkes det sosiale.",Dedikert opplæring og oppfølging av ansatte [Høy/Lav]
NE-05,10,Identitet,Tydelighet,Kundes identitetsoppfatning,Hva er status for kundes identitetsoppfatning i virksomheten?,"Privatkunder vil få servert tilbudene superenkelt. “Vi skal legge opp til en lett dialog, kartlegge behov underveis, og sikre mer valuta for pengene.”","Det er kundes opplevelse av virksomhetens identitet som er den virkelige testen i markedet, og det er også derfor en av de vanligste områdene å gjøre systematiske målinger. Her er det viktig å igjen skille mellom merkevare og identitet, og å forstå hvilke faktorer det er som påvirker kundes oppfatninger og fortolkninger.",Markedsundersøkelse [Middels/Lav] | Sikre tydelig differensiering i budskapet [Middels/Lav] | Implementer analyseverktøy for å forstå hvordan kundene oppfatter vår identitet [Høy/Lav]
NE-06,11,Identitet,Det unike,Markedsdifferanse,Hva er status for markedsdifferanse i virksomheten?,"Dette hevdes å være en ny standard, der det ikke finnes konkurrenter (utenom kanskje en). De skal samle alle leverandører og gjør det noe nytt med. Dette for å gjøre det enkelt selv for privatkunden. Målet er å lage en fordel for entreprenører der de kan hinder konkurrenter. Skal skille seg ut på forenkling og vekting. Skal skape ordrekontroll forenkle revisjoner og inkludere NOBB.","Identitet er i stor grad kjennetegnet av forskjeller, kontraster – hva man ikke er. Det er også en av de viktigste faktorene for å lykkes å markedet: Tydelighet om hvordan man er annerledes enn konkurrentene. For at disse forskjellene skal oppleves som relevante, troverdige og tydelige må de forankres sterkt i virksomhetens identitet.",Gjennomføre kvalitativ konkurrentanalyse [Middels/Lav] | Logge de som bidrar til avvik fra profilen [Høy/Lav]
NE-07,12,Identitet,Det unike,Attraksjonsdifferanse,Hva er status for attraksjonsdifferanse i virksomheten?,"Leder tenker at det er fordi virksomheten fokuserer på å løse problem for kunder, og at potensielle ansatte vil være med på å løse dette, som gjør dem attraktive. Daglig leder er en interessant person som kjører rally osv. Videre skal de som blir med på laget være med på å skape et produkt og løse et stort problem gjennom forenkling.","Forskjeller fra konkurrentene er avgjørende for å etablere en tydelig identitet i markedet, og det gjelder også virksomhetens identitet som arbeidsplass. Potensielle nye arbeidstakere vil ha forventninger til virksomheten ut fra oppfattet identitet, og dette legger forutsetningene hva hvem som søker på stillinger.","Definere målsetting, måle løpende og iverksette tiltak [Lav/Middels] | Sikre gode utviklingsmuligheter [Middels/Middels] | Sørg for konkurransedyktige betingelser [Høy/Middels]"
NE-08,13,Identitet,Relevans,Ambisjonsbevissthet,Hva er status for ambisjonsbevissthet i virksomheten?,Dette er en klassisk startup. Hvis man klarer å validere sin beregningsmodell med en MVP vil det styrke deres posisjon. Tenker å bygge på også partnerskap. “Vi ønsker å sette en ny bransjestandard!”,"Ambisjoner og forventninger til fremtiden er en viktig forutsetning for å oppfattes som relevant. Fortellingene om hvilke reiser virksomheten skal legge ut på vil alltid defineres av hvem man er i dag, hvor man kommer fra, og hvem man vil bli. Dersom virksomheten ikke er bevisst på dette, så kan man heller ikke lede sin egen utvikling.",Gjennomføre gap-undersøkelse: mål vs. belastning [Middels/Middels] | Inkorporer innovasjon og læring i fx en eLæring [Lav/Middels] | Skap en åpen og involverende dialog internt [Lav/Høy]
NE-09,14,Identitet,Relevans,Verdibevissthet,Hva er status for verdibevissthet i virksomheten?,"Alle skriver om problemet, men ingen har vist at de kan løse det. I dag kan ingen gjøre ESG-rapportering, utover å sette inn noen tall. “Vi ønsker å gjøre bransjen bedre, unngå grønnvasking, øke lønnsomheten og legge inn reelle kroner bak Co2.”","Oppfatninger om hva det er virksomheten legger vekt på som viktig og har verdi er avhengig av at virksomheten selv er bevisst på spørsmålet og tar tydelige valg om hvordan dette henger sammen med identiteten. Dette former hva det er i virksomhetens identitet som andre, for eksempel kunder, opplever som verdifullt.",Integrer verdiene i det daglige arbeidet [Lav/Middels] | Sørge for at ledere er rollemodeller som etterlever virksomhetens verdier [Middels/Middels]
NE-10,15,Identitet,Relevans,Endringsbevissthet,Hva er status for endringsbevissthet i virksomheten?,"Ikke så mange rutiner foreløpig. Jobber med et dokumentsenter. Ikke så relevante i markedet ennå. Leter etter alle feil i bransjen. Daglig leder er aktiv tømrer i sitt daglige virke. CEO sier: ""Rutinen min er å finne alle feil som oppstår i bransjen og finne måter å gjøre det bedre.""","Markedet er i konstant endring, det gjør at forutsetningene for virksomhetens identitet alltid er ustabile og krever justeringer. I likhet med behovet for bevissthet om fremtiden og det som er verdifullt, så kreves det bevissthet om evnen til å endre seg for å selv kunne lede istedenfor å bli ledet av skiftende omstendigheter.",Etablere faste rutiner for omverdensanalyse [Lav/Middels] | Målbevisst innhenting av informasjon fra kunder [Middels/Middels] | Delta aktivt i bransjenettverk og fagmiljøer [Middels/Middels]
